Date,Open,High,Low,Close,Adj Close,Volume
8/12/2019,26169.91016,26178.94922,25824.93945,25896.43945,25896.43945,199390000
8/13/2019,25888.88086,26426.9707,25833.25,26279.91016,26279.91016,308900000
8/14/2019,26035.08008,26035.08008,25471.58984,25479.41992,25479.41992,352250000
8/15/2019,25514.25,25639.68945,25339.59961,25579.39063,25579.39063,332600000
8/16/2019,25678.16992,25929.65039,25678.16992,25886.00977,25886.00977,276210000
8/19/2019,26020.06055,26222.32031,26020.06055,26135.78906,26135.78906,252640000
8/20/2019,26086.85938,26160.11914,25952,25962.43945,25962.43945,238100000
8/21/2019,26145.35938,26268.32031,26141.76953,26202.73047,26202.73047,208790000
8/22/2019,26271.64063,26388.7793,26099.00977,26252.24023,26252.24023,222810000
8/23/2019,26134.21094,26320.28906,25507.17969,25628.90039,25628.90039,364260000
8/26/2019,25826.05078,25941.25,25716.39063,25898.83008,25898.83008,222780000
8/27/2019,26014.46094,26054.01953,25721.84961,25777.90039,25777.90039,263530000
8/28/2019,25712.99023,26041.57031,25637.42969,26036.09961,26036.09961,207070000
8/29/2019,26249.08984,26408.83984,26185.71094,26362.25,26362.25,208650000
8/30/2019,26476.39063,26514.61914,26295.58984,26403.2793,26403.2793,2190810000
9/3/2019,26198.25977,26198.25977,25978.2207,26118.01953,26118.01953,223210000
9/4/2019,26301.99023,26362.34961,26244.43945,26355.4707,26355.4707,202710000
9/5/2019,26603.15039,26836.30078,26603.15039,26728.15039,26728.15039,256670000
9/6/2019,26790.25,26860.86914,26708.39063,26797.46094,26797.46094,209700000
9/9/2019,26866.23047,26900.83008,26762.17969,26835.50977,26835.50977,273120000
9/10/2019,26805.83008,26909.42969,26717.05078,26909.42969,26909.42969,322340000
9/11/2019,26928.05078,27137.03906,26885.48047,27137.03906,27137.03906,272590000
9/12/2019,27197.32031,27306.73047,27105.00977,27182.44922,27182.44922,250010000
9/13/2019,27216.66992,27277.55078,27193.94922,27219.51953,27219.51953,255260000
9/16/2019,27146.06055,27172.86914,27032.56055,27076.82031,27076.82031,220620000
9/17/2019,27010.11914,27110.80078,26984.14063,27110.80078,27110.80078,223580000
9/18/2019,27075.39063,27161.92969,26899.15039,27147.08008,27147.08008,212860000
9/19/2019,27186.05078,27272.16992,27064.21094,27094.78906,27094.78906,212360000
9/20/2019,27102.17969,27194.75,26926.67969,26935.07031,26935.07031,497640000
9/23/2019,26851.44922,27011.07031,26831.33984,26949.99023,26949.99023,204240000
9/24/2019,27034.07031,27079.67969,26704.96094,26807.76953,26807.76953,301750000
9/25/2019,26866.71094,27016.56055,26755.85938,26970.71094,26970.71094,237220000
9/26/2019,27004.10938,27015.07031,26803.83984,26891.11914,26891.11914,229180000
9/27/2019,26987.25977,27012.53906,26715.82031,26820.25,26820.25,217780000
9/30/2019,26852.33008,26998.85938,26852.33008,26916.83008,26916.83008,222680000
10/1/2019,26962.53906,27046.21094,26562.2207,26573.03906,26573.03906,260110000
10/2/2019,26425.85938,26438.03906,25974.11914,26078.61914,26078.61914,309640000
10/3/2019,26039.01953,26205.19922,25743.46094,26201.03906,26201.03906,241610000
10/4/2019,26271.69922,26590.74023,26271.69922,26573.7207,26573.7207,221310000
10/7/2019,26502.33008,26655.83984,26424.53906,26478.01953,26478.01953,195200000
10/8/2019,26276.58984,26421.81055,26139.80078,26164.03906,26164.03906,244590000
10/9/2019,26308.23047,26424.31055,26249.75,26346.00977,26346.00977,190060000
10/10/2019,26317.34961,26603.31055,26314.50977,26496.66992,26496.66992,217680000
10/11/2019,26694.19922,27013.9707,26694.19922,26816.58984,26816.58984,282080000
10/14/2019,26766.42969,26874.33008,26749.17969,26787.35938,26787.35938,178620000
10/15/2019,26811.19922,27120.10938,26811.19922,27024.80078,27024.80078,245510000
10/16/2019,26972.31055,27058.33984,26943.28906,27001.98047,27001.98047,214660000
10/17/2019,27032.38086,27112.16016,26970.28906,27025.88086,27025.88086,222540000
